 Placa ; Tipo de Vehiculo ; Marca ; Modelo 
CLHR-92;CAMIONETA;NISSAN;TERRANO DC TDI 4X4 DX SV
JTCV-17;TRACTOR;EUROPARD;TB 504
DRHY-21;CAMION;MERCEDES BENZ;ATEGO 1215
CCWW-59;CAMION;MITSUBISHI;CANTER
BRRK-21;CAMION;FORD;CARGO 2428E
GYPJ-73;CAMION;HYUNDAI;HD 65 DLX D CAB
HDHC-18;CAMION;MITSUBISHI;CANTER 6.5 EURO IV
DCVS-61;AUTOMOVIL;KIA MOTORS;RIO JB EX 5D DH DAB
GKLW-67;CAMION;CHEVROLET;FVR 1724E
CJTZ-78;CAMIONETA;CHEVROLET;D-MAX TH CC 3.0D 4WD DAB
GTTT-82;STATION WAGON;MAHINDRA;SCORPIO SUV 4X4 CRDE EV
HRPX-14;STATION WAGON;HONDA;PILOT EXL 3.5 AUT 4X4
FGGF-72;CAMIONETA;SSANGYONG;NEW A.SPORTS 4X2 2AB ABS
FFJH-78;CAMIONETA;NISSAN;TERRANO PICK UP DXS
JZWG-71;MINIBUS;MERCEDES BENZ;SPRINTER 415 CDI 17 ASIENTOS TB
GTTZ-96;CAMIONETA;SSANGYONG;A.SPORTS 4X4 AC
